
1556-4673;21;1.87;147;2018,1.87,147/2017,1.8,127/2016,0.94,72/2015,1.61,95/2014,1.82,93/2013,1.65,70
0800-3831;14;0.94;27;2018,0.94,27/2017,0.5,15/2016,0.33,22/2015,0.6,15/2014,0.22,13/2013,0.35,18
0066-1546;18;0.53;20;2018,0.53,20/2017,0.67,29/2016,1.31,32/2015,0.94,22/2014,0.75,19/2013,0.94,22
0956-5361;37;0.84;71;2018,0.84,71/2017,0.94,88/2016,0.63,64/2015,1.26,83/2014,1.04,77/2013,0.55,47
0263-0338;33;1.51;163;2018,1.51,163/2017,1.44,107/2016,1.69,149/2015,1.17,76/2014,1.74,84/2013,1.59,76
0905-7196;17;1.25;64;2018,1.25,64/2017,0.55,27/2016,0.61,45/2015,0.5,38/2014,0.6,33/2013,0.87,31
1866-9557;27;1.99;432;2018,1.99,432/2017,1.88,267/2016,1.95,179/2015,1.54,146/2014,1.92,143/2013,1.22,106
1132-6891;17;0.57;24;2018,0.57,24/2017,0.55,21/2016,0.76,36/2015,0.29,15/2014,0.47,27/2013,0.52,15
0003-8008;4;0.89;19;2018,0.89,19/2017,0.42,8/2016,0.0,5/2015,0.13,2/2014,0.0,0/2013,0.0,0
0323-1267;13;0.25;18;2018,0.25,18/2017,0.32,28/2016,0.26,30/2015,0.55,45/2014,0.43,33/2013,0.27,26
0570-8966;12;0.3;11;2018,0.3,11/2017,0.41,17/2016,0.18,9/2015,0.26,10/2014,0.48,18/2013,0.38,14
0076-0730;17;0.45;18;2018,0.45,18/2017,0.27,13/2016,0.22,11/2015,0.27,11/2014,0.14,10/2013,0.1,11
0041-977X;17;0.06;10;2018,0.06,10/2017,0.2,30/2016,0.26,23/2015,0.32,18/2014,0.41,17/2013,0.28,23
1759-5134;6;0.31;21;2018,0.31,21/2017,0.2,13/2016,0.19,15/2015,0.22,15/2014,0.28,15/2013,0.16,4
0009-8418;11;0.06;9;2018,0.06,9/2017,0.13,9/2016,0.16,17/2015,0.13,18/2014,0.13,20/2013,0.21,15
1084-5453;34;0.37;45;2018,0.37,45/2017,0.79,55/2016,0.49,40/2015,0.46,53/2014,0.85,70/2013,0.93,80
1406-2933;9;0.25;5;2018,0.25,5/2017,0.56,16/2016,0.41,11/2015,0.31,8/2014,0.12,5/2013,0.34,12
0065-101X;11;0.05;3;2018,0.05,3/2017,0.43,6/2016,0.05,1/2015,0.0,3/2014,0.31,8/2013,0.08,9
0002-7294;80;1.92;340;2018,1.92,340/2017,1.64,303/2016,1.69,325/2015,1.42,302/2014,1.46,274/2013,1.5,276
0002-7316;72;1.98;278;2018,1.98,278/2017,2.31,345/2016,1.91,269/2015,2.66,340/2014,1.77,246/2013,1.93,260
2053-1583;49;6.88;4033;2018,6.88,4033/2017,6.32,2334/2016,5.85,954/2015,8.14,301/2014,0.0,0
2190-572X;28;2.27;1966;2018,2.27,1966/2017,2.43,904/2016,2.26,274/2015,0.45,5/2014,0.0,0
2325-7237;0;0.67;301;2018,0.67,301/2017,0.75,207/2016,0.65,73/2015,0.0,0
0389-9160;2;0.02;2;2018,0.02,2/2017,0.01,4/2016,0.01,1/2015,0.0,2/2014,0.0,1/2013,0.0,1
0002-9114;28;0.95;62;2018,0.95,62/2017,1.05,75/2016,0.96,89/2015,0.86,61/2014,0.94,97/2013,0.96,84
1461-9571;28;1.0;95;2018,1.0,95/2017,1.16,96/2016,1.3,108/2015,1.33,98/2014,1.17,64/2013,0.82,38
0017-3916;16;0.2;30;2018,0.2,30/2017,0.3,41/2016,0.34,40/2015,0.4,44/2014,0.26,22/2013,0.38,33
0009-8388;30;0.09;31;2018,0.09,31/2017,0.23,65/2016,0.19,52/2015,0.2,56/2014,0.23,53/2013,0.25,57
0185-2574;5;0.24;12;2018,0.24,12/2017,0.52,17/2016,0.1,7/2015,0.24,6/2014,0.08,1/2013,0.0,0
0014-1801;26;0.26;22;2018,0.26,22/2017,0.32,36/2016,0.34,31/2015,0.23,39/2014,0.38,32/2013,0.45,52
0002-9483;114;2.63;1661;2018,2.63,1661/2017,2.86,1666/2016,2.68,1500/2015,2.5,1547/2014,2.4,1460/2013,2.62,1642
